FLT_ID,EQ_ID,model,fname,eq_name,eq_date,magnitude,style,sof,region,rup_srl_narrow,rup_srl_wide,dip,seis_depth,lef,wef,stress_drop,stress_drop_asperity
3,33,Original,M6.1_002,sim_33,01/10/2022,5.768077,Strike-Slip,0,generic,2.95,9,90,8,6.87053453359253,6.4122279391502,3.236434,2.41155702966519
3,34,Original,M6.1_005,sim_34,01/10/2022,5.825225,Strike-Slip,0,generic,nan,7.1,90,8,6.97326340420009,7.13807836176382,3.717909,2.89170135387103
3,35,Original,M6.2_001,sim_35,01/10/2022,6.140296,Strike-Slip,0,generic,7.9,13.05,90,8,8.93324488831298,8.75017201904889,4.629009,3.42456128025872
3,36,Original,M6.2_002,sim_36,01/10/2022,6.108769,Strike-Slip,0,generic,8.55,14.1,90,8,12.3036237167839,6.85606055875811,4.038934,2.87270460826695
3,37,Original,M6.2_003,sim_37,01/10/2022,6.035772,Strike-Slip,0,generic,8.95,14.05,90,8,10.6276206444574,7.31420637256442,3.402667,2.69647209677131
3,38,Original,M6.2_004,sim_38,01/10/2022,6.181667,Strike-Slip,0,generic,8.8,13.65,90,8,10.6999362074896,8.35399010903952,4.60854,3.54040435597419
3,39,Original,M6.2_005,sim_39,01/10/2022,6.021907,Strike-Slip,0,generic,5.85,11.95,90,8,7.98519519454954,7.42386137202511,4.696284,3.47034456460994
3,40,Original,M6.3_001,sim_40,01/10/2022,6.018781,Strike-Slip,0,generic,nan,6.95,90,9,8.10195151654696,8.31195731581753,4.983941,3.72772733902105
3,41,Original,M6.3_002,sim_41,01/10/2022,6.084386,Strike-Slip,0,generic,6.8,14.2,90,9,9.71974456122175,8.06273273685699,3.935857,3.04552891536208
3,42,Original,M6.3_004,sim_42,01/10/2022,6.177867,Strike-Slip,0,generic,7.1,12.95,90,9,10.1613773626977,8.30261181709263,4.539755,3.53900835876184
3,43,Original,M6.3_005,sim_43,01/10/2022,6.12784,Strike-Slip,0,generic,6.85,13.6,90,9,9.9292753878376,8.39937860612037,4.19832,3.10151201720813
3,44,Original,M6.4_002,sim_44,01/10/2022,6.417102,Strike-Slip,0,generic,16.4,22,90,10,16.49839774121,9.15860818689194,4.194944,3.35303956916877
3,45,Original,M6.4_004,sim_45,01/10/2022,6.318604,Strike-Slip,0,generic,16.6,21.05,90,10,14.1086845971681,8.4194017185228,4.336914,3.38492868145791
3,46,Original,M6.4_005,sim_46,01/10/2022,6.530702,Strike-Slip,0,generic,15.65,21.6,90,10,15.8530906948412,10.730100961186,5.084742,4.04735092043643
3,47,Original,M6.5_001,sim_47,01/10/2022,6.45019,Strike-Slip,0,generic,15.65,20.75,90,11,15.0322509082234,10.78940986656,5.033673,3.98114071011246
3,48,Original,M6.5_002,sim_48,01/10/2022,6.058243,Strike-Slip,0,generic,nan,3.8,90,11,8.45223040115667,7.55461579830117,5.402956,3.68072192759464
3,49,Original,M6.5_003,sim_49,01/10/2022,6.732119,Strike-Slip,0,generic,26.1,30.85,90,11,21.6561183168405,11.3030105679566,5.937112,4.67099522468019
3,50,Original,M6.5_004,sim_50,01/10/2022,6.057333,Strike-Slip,0,generic,9.8,14.5,90,11,9.16793127041277,8.59700795558738,3.488416,2.75657398598874
3,51,Original,M6.5_005,sim_51,01/10/2022,6.388078,Strike-Slip,0,generic,15.35,20.15,90,11,12.8822998066454,10.2200240795271,4.772913,3.98356988008437
