FLT_ID,EQ_ID,model,eq_name,eq_date,magnitude,style,sof,region,rup_srl_narrow,rup_srl_wide,lef,wef,dip,seis_depth
3,64,SimSet3,sim_64,2022-05-09,7.096874,Strike-Slip,0,generic,51.6,53.2,43.8049685769736,18.0093007321633,90,19
3,65,SimSet3,sim_65,2022-05-09,7.162189,Strike-Slip,0,generic,58.6,60.15,44.0023965709803,20.6952199827229,90,19
3,66,SimSet3,sim_66,2022-05-09,5.877138,Strike-Slip,0,generic,6,9,7.00894025699314,7.58454795345316,90,8
3,67,SimSet3,sim_67,2022-05-09,5.556215,Strike-Slip,0,generic,nan,4.85,5.27352694673017,4.7917600244567,90,6
3,68,SimSet3,sim_68,2022-05-09,7.340715,Strike-Slip,0,generic,84.4,85.4,68.7236022252628,19.2522425282056,90,19
3,69,SimSet3,sim_69,2022-05-09,7.412109,Strike-Slip,0,generic,143.15,144.45,111.930799885242,17.3815117637864,90,19
3,70,SimSet3,sim_70,2022-05-09,5.359858,Strike-Slip,0,generic,2.5,6.15,4.47033458437878,3.97802671404414,90,6
3,71,SimSet3,sim_71,2022-05-09,5.657408,Strike-Slip,0,generic,3.8,6.95,5.24264062879538,5.89569878005671,90,7
3,72,SimSet3,sim_72,2022-05-09,5.918812,Strike-Slip,0,generic,nan,6.05,6.86224850229193,6.99954446528091,90,8
3,73,SimSet3,sim_73,2022-05-09,5.518823,Strike-Slip,0,generic,nan,3.55,5.64335270539065,4.34107127619988,90,6
3,74,SimSet3,sim_74,2022-05-09,6.584261,Strike-Slip,0,generic,26.8,29.65,20.8318115372945,11.3600239780252,90,18
3,75,SimSet3,sim_75,2022-05-09,7.494222,Strike-Slip,0,generic,419.85,421.1,135.578896173679,20.084170589334,90,19
3,76,SimSet3,sim_76,2022-05-09,7.800784,Strike-Slip,0,generic,256.4,256.85,190.884363965616,22.8077273041462,90,19
3,77,SimSet3,sim_77,2022-05-09,7.387909,Strike-Slip,0,generic,110.75,111.65,77.8867708162988,19.9650334857671,90,19
3,78,SimSet3,sim_78,2022-05-09,7.51291,Strike-Slip,0,generic,154.5,155.4,118.342036978563,20.3237356083502,90,19
3,79,SimSet3,sim_79,2022-05-09,5.633591,Strike-Slip,0,generic,nan,5.95,6.22537182904283,5.99006655670064,90,8
3,80,SimSet3,sim_80,2022-05-09,7.073824,Strike-Slip,0,generic,61.9,63.3,41.263267568739,16.7689493762795,90,19
3,81,SimSet3,sim_81,2022-05-09,7.528095,Strike-Slip,0,generic,136.35,137.1,118.253429157384,20.2972122523602,90,19
3,82,SimSet3,sim_82,2022-05-09,5.894812,Strike-Slip,0,generic,6.95,10.35,8.49981352319543,7.26691050816576,90,9
3,83,SimSet3,sim_83,2022-05-09,6.19156,Strike-Slip,0,generic,6.1,10.1,9.97877832608254,9.04839669460643,90,10
3,84,SimSet3,sim_84,2022-05-09,7.193615,Strike-Slip,0,generic,66.65,67.9,49.2560450384266,18.6923583040908,90,19
3,85,SimSet3,sim_85,2022-05-09,6.330637,Strike-Slip,0,generic,8.15,12.25,13.754519916469,10.9388616423779,90,13
3,86,SimSet3,sim_86,2022-05-09,7.696271,Strike-Slip,0,generic,214.1,214.7,178.741685286263,21.0289553445686,90,19
3,87,SimSet3,sim_87,2022-05-09,7.638348,Strike-Slip,0,generic,398.9,399.55,123.151832632953,20.8020015492399,90,19
3,88,SimSet3,sim_88,2022-05-09,7.210813,Strike-Slip,0,generic,74.35,76.15,54.8078184636776,21.4458654569737,90,19
3,89,SimSet3,sim_89,2022-05-09,7.085985,Strike-Slip,0,generic,61.45,63.15,48.098746673897,18.7379978288002,90,19
3,90,SimSet3,sim_90,2022-05-09,7.608462,Strike-Slip,0,generic,125.55,125.1,94.0744824029807,22.1788057532016,90,19
3,91,SimSet3,sim_91,2022-05-09,6.361824,Strike-Slip,0,generic,17.25,20.05,14.8539024310195,10.0107018773696,90,12
3,92,SimSet3,sim_92,2022-05-09,6.618661,Strike-Slip,0,generic,18.1,21,18.4635478519084,15.6196997863392,90,16
