FLT_ID,EQ_ID,model,eq_name,eq_date,magnitude,style,sof,region,rup_srl_narrow,rup_srl_wide,lef,wef,dip,seis_depth
3,1,SimSet2,sim_1,5/9/22,7.674777,Strike-Slip,0,generic,217.45,226.35,194.4326562,21.11871655,90,19
3,2,SimSet2,sim_2,5/9/22,6.264801,Strike-Slip,0,generic,nan,2.45,9.367108675,13.79273215,90,19
3,3,SimSet2,sim_3,5/9/22,6.214191,Strike-Slip,0,generic,10.3,17.35,11.67381009,9.846280066,90,19
3,4,SimSet2,sim_4,5/9/22,7.324618,Strike-Slip,0,generic,80.05,85.45,56.47152766,21.44075402,90,19
3,5,SimSet2,sim_5,5/9/22,5.770161,Strike-Slip,0,generic,2.7,9.85,7.563982268,6.749450963,90,9
3,6,SimSet2,sim_6,5/9/22,6.133692,Strike-Slip,0,generic,5.3,14.1,11.46785772,8.18445992,90,13
3,7,SimSet2,sim_7,5/9/22,7.23919,Strike-Slip,0,generic,83.3,92.35,74.41300387,20.59384223,90,19
3,8,SimSet2,sim_8,5/9/22,5.413486,Strike-Slip,0,generic,nan,4.25,5.675965289,4.485492367,90,7
3,9,SimSet2,sim_9,5/9/22,6.645888,Strike-Slip,0,generic,19.5,25.2,19.97251865,14.36093307,90,15
3,10,SimSet2,sim_10,5/9/22,5.950845,Strike-Slip,0,generic,4.15,11,8.425489762,8.378787098,90,15
3,11,SimSet2,sim_11,5/9/22,7.15988,Strike-Slip,0,generic,66.65,73.9,63.29607135,19.81098429,90,19
3,12,SimSet2,sim_12,5/9/22,6.17094,Strike-Slip,0,generic,10.2,16.45,10.9642738,8.19831424,90,11
3,13,SimSet2,sim_13,5/9/22,6.991655,Strike-Slip,0,generic,46.5,53.4,39.79147079,17.45343626,90,18
3,14,SimSet2,sim_14,5/9/22,7.094005,Strike-Slip,0,generic,58.65,66.75,49.38562307,16.19340656,90,19
3,15,SimSet2,sim_15,5/9/22,6.773438,Strike-Slip,0,generic,33.8,39.45,29.17155205,13.92388061,90,16
3,16,SimSet2,sim_16,5/9/22,7.6626,Strike-Slip,0,generic,269.15,274,186.1854176,21.16159203,90,19
3,17,SimSet2,sim_17,5/9/22,6.882422,Strike-Slip,0,generic,30,36.25,27.69263934,18.41558709,90,18
3,18,SimSet2,sim_18,5/9/22,5.753591,Strike-Slip,0,generic,nan,5.55,7.094450163,6.74695881,90,8
3,19,SimSet2,sim_19,5/9/22,7.269013,Strike-Slip,0,generic,75.75,82.7,63.64845678,19.34006703,90,19
3,20,SimSet2,sim_20,5/9/22,6.468542,Strike-Slip,0,generic,21.35,29.3,21.46416816,9.139112502,90,13
3,21,SimSet2,sim_21,5/9/22,5.583159,Strike-Slip,0,generic,nan,4.5,5.64732304,5.892108552,90,8
3,22,SimSet2,sim_22,5/9/22,5.625912,Strike-Slip,0,generic,nan,6.65,5.430941544,5.53553594,90,7
3,23,SimSet2,sim_23,5/9/22,6.450069,Strike-Slip,0,generic,19.9,26.95,20.78065676,10.10971726,90,16
3,24,SimSet2,sim_24,5/9/22,6.131754,Strike-Slip,0,generic,5.7,15.95,14.18201029,8.31814154,90,16
3,25,SimSet2,sim_25,5/9/22,5.972662,Strike-Slip,0,generic,4.65,12.2,9.824900328,6.603445762,90,9
3,26,SimSet2,sim_26,5/9/22,5.181148,Strike-Slip,0,generic,nan,3.45,4.742761782,3.661538078,90,6
3,27,SimSet2,sim_27,5/9/22,4.999962,Strike-Slip,0,generic,nan,2,3.438690764,3.214571978,90,5
3,28,SimSet2,sim_28,5/9/22,7.285509,Strike-Slip,0,generic,75.05,82.15,57.38440138,20.95085957,90,19
3,29,SimSet2,sim_29,5/9/22,5.974256,Strike-Slip,0,generic,nan,7.05,9.222336731,9.707634829,90,15
3,30,SimSet2,sim_30,5/9/22,7.470369,Strike-Slip,0,generic,328.85,333,93.05892802,22.44720049,90,19
3,31,SimSet2,sim_31,5/9/22,7.538249,Strike-Slip,0,generic,134.6,140.25,115.549521,22.77450809,90,19
3,32,SimSet2,sim_32,5/9/22,6.21217,Strike-Slip,0,generic,13,19.95,13.07569562,7.898046424,90,19
3,33,SimSet2,sim_33,5/9/22,7.576509,Strike-Slip,0,generic,182.75,189.4,150.276879,21.31278214,90,19
3,34,SimSet2,sim_34,5/9/22,7.317268,Strike-Slip,0,generic,105.55,112.65,82.40991956,17.88418529,90,19
3,35,SimSet2,sim_35,5/9/22,6.121198,Strike-Slip,0,generic,nan,11.15,10.28354099,11.70023792,90,13
3,36,SimSet2,sim_36,5/9/22,5.536793,Strike-Slip,0,generic,nan,6.05,5.689449539,4.790133271,90,7
3,37,SimSet2,sim_37,5/9/22,6.091551,Strike-Slip,0,generic,3.85,13.2,11.86875813,8.568755774,90,12
3,38,SimSet2,sim_38,5/9/22,6.189272,Strike-Slip,0,generic,11.4,17.85,12.02855079,8.209474288,90,12
3,39,SimSet2,sim_39,5/9/22,6.905212,Strike-Slip,0,generic,36.1,42.9,30.9914287,18.22557218,90,18
3,40,SimSet2,sim_40,5/9/22,6.069938,Strike-Slip,0,generic,2,12.3,8.696384488,10.13896601,90,15
3,41,SimSet2,sim_41,5/9/22,6.550916,Strike-Slip,0,generic,16.95,22.9,17.29983361,16.20236216,90,19
3,42,SimSet2,sim_42,5/9/22,6.09314,Strike-Slip,0,generic,nan,5.45,9.805422024,9.803849012,90,12
3,43,SimSet2,sim_43,5/9/22,6.084184,Strike-Slip,0,generic,7.45,13.85,11.19594816,8.324268282,90,11
3,44,SimSet2,sim_44,5/9/22,5.821717,Strike-Slip,0,generic,2.9,9.8,7.998697011,6.816744176,90,10
3,45,SimSet2,sim_45,5/9/22,5.84433,Strike-Slip,0,generic,2.2,9.9,7.696975785,8.160885895,90,10
3,46,SimSet2,sim_46,5/9/22,6.350928,Strike-Slip,0,generic,13.45,20.05,16.28188502,9.783697859,90,11
3,47,SimSet2,sim_47,5/9/22,5.880674,Strike-Slip,0,generic,nan,8,8.226321712,8.142536739,90,10
3,48,SimSet2,sim_48,5/9/22,7.338745,Strike-Slip,0,generic,118.05,123.8,102.3971365,19.23994031,90,19
3,49,SimSet2,sim_49,5/9/22,8.183324,Strike-Slip,0,generic,653.55,655.25,407.8992766,27.58065678,90,19
3,50,SimSet2,sim_50,5/9/22,6.157229,Strike-Slip,0,generic,5.9,13.6,12.4571779,9.662323218,90,11
3,51,SimSet2,sim_51,5/9/22,6.622781,Strike-Slip,0,generic,11.35,19.4,18.87874475,17.52720559,90,19
3,52,SimSet2,sim_52,5/9/22,7.099502,Strike-Slip,0,generic,81,86.15,62.47004712,16.68067715,90,19
3,53,SimSet2,sim_53,5/9/22,6.103596,Strike-Slip,0,generic,7.1,14.15,12.10237196,8.001648858,90,11
3,54,SimSet2,sim_54,5/9/22,5.762265,Strike-Slip,0,generic,nan,8,6.617944154,6.823405134,90,8
3,55,SimSet2,sim_55,5/9/22,7.087967,Strike-Slip,0,generic,47.15,53.3,47.56304797,21.31786326,90,19
3,56,SimSet2,sim_56,5/9/22,7.122335,Strike-Slip,0,generic,65.25,70.65,52.25330149,18.56357086,90,19
3,57,SimSet2,sim_57,5/9/22,6.488528,Strike-Slip,0,generic,18.75,26.25,23.64824519,11.0612297,90,12
3,58,SimSet2,sim_58,5/9/22,5.791423,Strike-Slip,0,generic,nan,6.7,8.949414054,6.991229444,90,9
3,59,SimSet2,sim_59,5/9/22,7.642474,Strike-Slip,0,generic,275,279.55,170.2850302,21.34221265,90,19
3,60,SimSet2,sim_60,5/9/22,7.651896,Strike-Slip,0,generic,255.7,260.85,177.7921482,21.05987739,90,19
3,61,SimSet2,sim_61,5/9/22,6.99679,Strike-Slip,0,generic,36.8,44.35,33.86987895,19.43486423,90,19
3,62,SimSet2,sim_62,5/9/22,6.152498,Strike-Slip,0,generic,7.8,13.8,10.75801751,9.234461411,90,19
3,63,SimSet2,sim_63,5/9/22,5.61112,Strike-Slip,0,generic,nan,7,7.145461053,5.733693385,90,8
3,64,SimSet2,sim_64,5/9/22,7.055594,Strike-Slip,0,generic,50.55,56.1,41.06324401,19.71803,90,19
3,65,SimSet2,sim_65,5/9/22,7.54138,Strike-Slip,0,generic,114.95,119.65,95.82851165,21.16929073,90,19
3,66,SimSet2,sim_66,5/9/22,5.543608,Strike-Slip,0,generic,nan,7.35,5.345754401,5.097850656,90,7
3,67,SimSet2,sim_67,5/9/22,6.51973,Strike-Slip,0,generic,15.15,21.45,17.54942905,14.27793691,90,16
3,68,SimSet2,sim_68,5/9/22,5.696417,Strike-Slip,0,generic,nan,6.6,6.37397875,6.622889482,90,8
3,69,SimSet2,sim_69,5/9/22,6.908731,Strike-Slip,0,generic,36.45,43.25,36.96007946,17.66174813,90,18
3,70,SimSet2,sim_70,5/9/22,7.67491,Strike-Slip,0,generic,296.5,303.45,254.3495409,20.34535541,90,19
3,71,SimSet2,sim_71,5/9/22,7.86127,Strike-Slip,0,generic,315.55,320.9,238.5787848,22.42721341,90,19
3,72,SimSet2,sim_72,5/9/22,7.359398,Strike-Slip,0,generic,81.2,87.1,68.28502995,21.93738228,90,19
3,73,SimSet2,sim_73,5/9/22,7.099169,Strike-Slip,0,generic,57.75,64.55,48.30150129,16.27335549,90,19
3,74,SimSet2,sim_74,5/9/22,6.958572,Strike-Slip,0,generic,43.95,52.3,36.08037178,16.20059295,90,19
3,75,SimSet2,sim_75,5/9/22,6.141284,Strike-Slip,0,generic,8.2,15.1,10.72202764,9.868976678,90,15
3,76,SimSet2,sim_76,5/9/22,6.61948,Strike-Slip,0,generic,21.75,27.9,22.25705144,12.93162461,90,19
3,77,SimSet2,sim_77,5/9/22,5.978292,Strike-Slip,0,generic,nan,9.45,8.600225104,8.379092898,90,10
3,78,SimSet2,sim_78,5/9/22,7.29888,Strike-Slip,0,generic,87.7,94.7,75.90734403,20.39358334,90,19
3,79,SimSet2,sim_79,5/9/22,6.288842,Strike-Slip,0,generic,5.35,12.45,11.96155304,11.44409504,90,13
3,80,SimSet2,sim_80,5/9/22,7.625436,Strike-Slip,0,generic,203.45,208.6,176.638178,20.70639145,90,19
3,81,SimSet2,sim_81,5/9/22,7.72308,Strike-Slip,0,generic,423.9,428.75,228.0501736,20.26330365,90,19
3,82,SimSet2,sim_82,5/9/22,7.365794,Strike-Slip,0,generic,94.1,99.4,67.35185045,21.27556861,90,19
3,83,SimSet2,sim_83,5/9/22,7.584373,Strike-Slip,0,generic,155.25,163.8,129.7036414,21.18303658,90,19
3,84,SimSet2,sim_84,5/9/22,5.107122,Strike-Slip,0,generic,nan,4.55,3.847781819,3.652008346,90,6
3,85,SimSet2,sim_85,5/9/22,6.736116,Strike-Slip,0,generic,23.95,30.9,29.96382435,15.93223546,90,16
