FLT_ID,EQ_ID,eq_name,eq_date,region,magnitude,style,sof,flag_missing,flag_multiple,event_len,seis_depth,dip
1,1,Landers,1992,California,7.28,Strike-Slip,0,0,0,76.5206044184,15,90
1,2,HectorMine,1999,California,7.13,Strike-Slip,0,0,0,48.3473019184362,15,90
1,3,EMC,2010,Mexico,7.2,Normal-Oblique,-0.5,0,0,53.5706517929582,15,60
1,4,Balochistan,2013,Pakistan,7.7,Strike-Slip,0,0,0,208.164736879871,30,90
1,5,Izmit_Kocaeli,1999,Turkey,7.51,Strike-Slip,0,0,0,121.752675879931,22,90
1,6,Borrego,1968,California,6.63,Strike-Slip,0,0,0,31.4887498599097,15,90
1,7,Imperial1979,1979,California,6.53,Strike-Slip,0,0,0,32.6591587704202,15,90
1,8,SuperstitionHills,1987,California,6.54,Strike-Slip,0,0,0,27.5138443951369,15,90
1,9,Kobe,1995,Japan,6.9,Strike-Slip,0,1,0,10.1015874217529,17,90
1,10,Denali,2002,Alaska,7.9,Strike-Slip,0,0,0,278.697907495212,22,90
1,11,Duzce,1999,Turkey,7.14,Strike-Slip,0,0,0,39.9321913911659,22,90
1,12,Wenchuan,2008,China,7.9,Reverse-Oblique,0.5,0,0,224.508308016348,22,45
1,13,Napa,2014,California,6,Strike-Slip,0,0,0,21.309573069101,15,90
1,14,Yushu,2010,China,6.9,Strike-Slip,0,0,1,68.0570117302111,22,90
1,15,Hualien,2018,Taiwan,6.4,Strike-Slip,0,1,0,7.33019174398464,21,90
1,16,ChiChi,1999,Taiwan,7.62,Reverse-Oblique,0.5,0,0,81.7126323677209,21,45
1,17,Kumamoto,2016,Japan,7,Strike-Slip,0,0,0,31.4593864589541,17,90
1,18,Nagano,2014,Japan,6.2,Reverse,1,0,0,8.20810537623532,17,45
1,19,Kashmir,2005,Sub-Himalaya,7.6,Reverse,1,0,0,71.4454121841197,30,45
1,20,Kaikoura,2016,New Zealand,7.8,Reverse-Oblique,0.5,0,0,163.522200249025,15,45
1,21,Darfield,2010,New Zealand,7,Strike-Slip,0,0,0,29.4381316973,15,90
1,22,Parkfield2004,2004,California,6,Strike-Slip,0,0,0,32.4018922961161,15,90
1,23,Norcia3,2016,Italy,6.6,Normal,-1,0,0,28.9437662731972,22,60
1,24,Hebgen,1959,Montana,7.3,Normal,-1,0,0,25.2390080092417,22,60
1,25,SanFernando,1971,California,6.61,Reverse,1,0,0,18.2590001095338,15,45
